location,latitude,longitude,elevationMeters,bufferRadiusMeters,isHidden,trueCoordinates,comments,internal_wildtrax_id,internal_update_ts
Y-14-391-SW,55.115584,-111.759565,,,Visible,t,,43901, 2021-03-24 09:39:18
Y-21-280-NW,56.013090,-110.802588,,,Visible,t,,43702, 2021-03-24 09:39:18
Y-23-288-CT,57.314824,-111.357391,,,Visible,t,,43728, 2021-03-24 09:39:18
Y-23-352-NW,57.331433,-111.327904,,,Visible,t,,32772, 2021-03-24 09:39:18
Y-30-329-CT,55.861026,-110.685851,,,Visible,t,,35955, 2021-03-24 09:39:18
Y-31-331-CT,55.915868,-110.548726,,,Visible,t,,35990, 2021-03-24 09:39:18
Y-31-331-NE,55.918540,-110.544839,,,Visible,t,,35991, 2021-03-24 09:39:18
Y-31-331-NW,55.918575,-110.554390,,,Visible,t,,35992, 2021-03-24 09:39:18
Y-31-331-SW,55.912743,-110.556585,,,Visible,t,,36048, 2021-03-24 09:39:18
Y-31-333-CT,55.900848,-110.561902,,,Visible,t,,41031, 2021-03-24 09:39:18
Y-31-333-NE,55.903330,-110.557684,,,Visible,t,,43788, 2021-03-24 09:39:18
Y-39-414-B2,54.983633,-111.829752,,,Visible,t,,43941, 2021-03-24 09:39:18
Y-39-416-D2,54.942858,-111.772681,,,Visible,t,,43949, 2021-03-24 09:39:18
Y-19-273-CT2,55.724596,-111.110029,,,Visible,t,,43658, 2021-03-24 09:39:18
LPRETN-700-12,52.717453,-116.321793,,,Visible,t,,70146, 2021-03-24 09:39:18
